it  max-nrm-gradient  max-nrm-model-update  misfit
1        48.03671     0.003642663        2.820898 3
2        134.8508       0.0692258        2.017588 1
3        83.36872      0.04969931        0.411604 2
4         11.4867     0.005697161      0.06227611 1
5        1.839172      0.01516616     0.001062351 0
6       0.5133627     0.001793305     1.51279e-05 0
7       0.1688397    3.896296e-05    7.279699e-06 0
8     0.004704415    9.979083e-06    6.389947e-06 0
9     0.001043994    5.329331e-07    6.389211e-06 0
10    2.903402e-07    1.036819e-07    6.389176e-06 0
