
* Processing the grid command...
* Setting nx to 601 to be consistent with h=50
* Setting ny to 601 to be consistent with h=50
* Setting nz to 341 to be consistent with h=50

Global grid sizes (without ghost points)
Grid         h        Nx        Ny        Nz       Points
   0        50       601       601       341    123169541
Total number of grid points (without ghost points): 1.2317e+08

Done reading input file 
 no GPUs found
----------------------------------------------------
 Making Output Directory: loh2-results/
		
... Done!
----------------------------------------------------
number of grid point  sources = 691200
number of unique g.p. sources = 82656
setup of sources done
Running on 256 MPI tasks
Using OpenMP with 1 thread per MPI task
starting at time 0 at cycle 1
Time step 1 t= 0.0083877
Time step 101 t= 0.847158
Time step 201 t= 1.68593
Time step 301 t= 2.5247
Time step 401 t= 3.36347
Time step 501 t= 4.20224
Time step 601 t= 5.04101
Time step 701 t= 5.87978
Time step 801 t= 6.71855
Time step 901 t= 7.55732
Writing ASCII USGS file, of size 1001: loh2-results/sta10.txt
Time step 1001 t= 8.39609
Time step 1073 t= 9
   Execution time, solver phase 4 minutes 58.2776 seconds 
Writing ASCII USGS file, of size 1074: loh2-results/sta10.txt

----------------------------------------
          Execution time summary 
Processor  Total      BC comm    BC phys    Scheme     Supergrid  Forcing 
0          297.91     26.273     4.4571     142.82     29.346     9.0334     
1          297.91     25.637     3.4313     143.95     29.699     9.0554     
2          297.91     16.881     3.2649     152.81     29.804     8.9272     
3          297.91     16.231     3.2836     152.92     29.818     8.9748     
4          297.91     24.622     2.9797     142.99     31.666     9.0386     
5          297.91     13.31      3.0461     156.16     29.665     9.2557     
6          297.91     16.493     3.0141     152.3      29.896     9.682      
7          297.91     15.491     2.7985     154.14     29.916     8.6592     
8          297.91     12.905     2.8153     156.13     29.839     8.8907     
9          297.91     23.718     2.785      146.38     28.807     8.6384     
10         297.91     27.041     2.686      143.46     28.369     7.7867     
11         297.91     18.464     2.4775     146.83     28.75      7.1494     
12         297.91     17.552     2.6476     140.63     30.78      8.0931     
13         297.91     20.12      2.599      140.91     28.663     8.0955     
14         297.91     20.42      2.7252     140.78     28.718     7.8455     
15         297.91     20.179     3.4752     140.59     28.604     7.958      
16         297.91     27.458     1.6967     143.07     29.927     9.3428     
17         297.91     28.39      0.75017    143.73     29.298     9.1177     
18         297.91     14.131     0.71468    157.82     29.66      9.0209     
19         297.91     28.072     0.69882    143.57     30.018     9.0138     
